source,title,total_price_yuan,unit_price_yuan_per_m2,area_m2,rooms,location,city,district,block,page,price_per_m2,dataset,rent_month_yuan,rent_per_m2
esf,"碧水云天复试豪宅,实际使用360平,楼上楼下双入户,位置好,",43000000.0,140983.0,305.0,7室2厅,万柳,北京,海淀,万柳,2,140983.0,sales,,
esf,万城华府尚园 4室3厅3卫 客厅带阳台 格局方正,70000000.0,233933.0,299.23,4室3厅,万柳,北京,海淀,万柳,2,233933.0,sales,,
esf,光大水墨风景 3室2厅2卫 带飘窗 客厅带阳台,21800000.0,148027.0,147.27,3室2厅,万柳,北京,海淀,万柳,2,148027.0,sales,,
esf,万城华府海园 4室3厅4卫 格局方正,72000000.0,239776.0,300.28,4室3厅,万柳,北京,海淀,万柳,2,239776.0,sales,,
esf,碧水云天西区 4室2厅2卫 品质小区 带飘窗,34000000.0,144165.0,235.84,4室2厅,万柳,北京,海淀,万柳,2,144165.0,sales,,
esf,万柳万泉新增东向一居室 满二年税费少 大落地窗采光好 可看房,6400000.0,115544.0,55.39,1室1厅,万柳,北京,海淀,万柳,2,115544.0,sales,,
esf,万城华府龙园 1室2厅1卫 品质小区 经典实用,13500000.0,172899.0,78.08,1室2厅,万柳,北京,海淀,万柳,2,172899.0,sales,,
esf,万柳书院 3室2厅2卫 主卧朝南 客厅朝南,55000000.0,252432.0,217.88,3室2厅,万柳,北京,海淀,万柳,2,252432.0,sales,,
esf,碧水云天 180.12平4居 南北向精装修 方便看房,20150000.0,111869.0,180.12,4室2厅,万柳,北京,海淀,万柳,2,111869.0,sales,,
esf,"万城华府龙湖颐和原著对比,豪华装修好位置好",93000000.0,244094.0,381.0,5室3厅,万柳,北京,海淀,万柳,2,244094.0,sales,,
esf,万城华府龙园 1室2厅1卫 格局方正 品质小区,13500000.0,172899.0,78.08,1室2厅,万柳,北京,海淀,万柳,2,172899.0,sales,,
esf,小南庄 61.5平2居 南北向精装修 视野无遮挡,3790000.0,61626.0,61.5,2室1厅,万柳,北京,海淀,万柳,2,61626.0,sales,,
esf,万城华府海园 4室3厅3卫 经典实用 主卧朝南,70000000.0,220125.0,318.0,4室3厅,万柳,北京,海淀,万柳,2,220125.0,sales,,
esf,"碧水云天三居室,业主诚意卖,价格好谈,欢迎咨询",15500000.0,133230.0,116.34,3室2厅,万柳,北京,海淀,万柳,3,133230.0,sales,,
esf,涧桥泊屋馆 3室2厅1卫 品质小区 经典实用,21000000.0,151384.0,138.72,3室2厅,万柳,北京,海淀,万柳,3,151384.0,sales,,
esf,万城华府海园 4室3厅4卫 格局方正,72000000.0,239776.0,300.28,4室3厅,万柳,北京,海淀,万柳,3,239776.0,sales,,
esf,万柳书院 3室2厅2卫 主卧朝南 客厅朝南,55000000.0,252432.0,217.88,3室2厅,万柳,北京,海淀,万柳,3,252432.0,sales,,
esf,碧水云天 180.12平4居 南北向精装修 方便看房,20150000.0,111869.0,180.12,4室2厅,万柳,北京,海淀,万柳,3,111869.0,sales,,
esf,万城华府海园 4室3厅3卫 经典实用 主卧朝南,70000000.0,220125.0,318.0,4室3厅,万柳,北京,海淀,万柳,3,220125.0,sales,,
esf,光大水墨风景 3室2厅2卫 带飘窗 客厅带阳台,21800000.0,148027.0,147.27,3室2厅,万柳,北京,海淀,万柳,3,148027.0,sales,,
esf,"碧水云天复试豪宅,实际使用360平,楼上楼下双入户,位置好,",43000000.0,140983.0,305.0,7室2厅,万柳,北京,海淀,万柳,3,140983.0,sales,,
esf,万柳万泉新增东向一居室 满二年税费少 大落地窗采光好 可看房,6400000.0,115544.0,55.39,1室1厅,万柳,北京,海淀,万柳,3,115544.0,sales,,
esf,懋源·璟岳4室2厅豪华装修,25500000.0,122009.0,209.0,4室2厅,万柳,北京,海淀,万柳,3,122009.0,sales,,
esf,海淀西三环 低密花园洋房 近人大 3室2厅万泉新新家园,26500000.0,144864.0,182.93,3室2厅,海淀,北京,海淀,万柳,3,144864.0,sales,,
esf,南北通透涧桥泊屋4室2厅,32000000.0,174786.0,183.08,4室2厅,万柳,北京,海淀,万柳,3,174786.0,sales,,
esf,4室2厅万泉新新家园,29800000.0,148962.0,200.05,4室2厅,万柳,北京,海淀,万柳,3,148962.0,sales,,
esf,新起点嘉园3室2厅精装修,16880000.0,106801.0,158.05,3室2厅,万柳,北京,海淀,万柳,3,106801.0,sales,,
esf,康桥水郡4室2厅精装修,45500000.0,179133.0,254.0,4室2厅,万柳,北京,海淀,万柳,3,179133.0,sales,,
esf,涧桥泊屋2室1厅精装修,15500000.0,134782.0,115.0,2室1厅,万柳,北京,海淀,万柳,3,134782.0,sales,,
esf,4室2厅万泉新新家园,39800000.0,167262.0,237.95,4室2厅,万柳,北京,海淀,万柳,3,167262.0,sales,,
esf,3室2厅碧水云天1期,19500000.0,141921.0,137.4,3室2厅,万柳,北京,海淀,万柳,3,141921.0,sales,,
esf,3室2厅万泉新新家园,23800000.0,134920.0,176.4,3室2厅,万柳,北京,海淀,万柳,3,134920.0,sales,,
esf,南北通透万柳书院3室1厅精装修,54000000.0,247275.0,218.38,3室1厅,万柳,北京,海淀,万柳,3,247275.0,sales,,
esf,3室2厅阳春光华枫树园,14300000.0,113222.0,126.3,3室2厅,万柳,北京,海淀,万柳,3,113222.0,sales,,
esf,康桥水郡1室1厅企业推荐房源,7100000.0,144661.0,49.08,1室1厅,万柳,北京,海淀,万柳,3,144661.0,sales,,
esf,2室2厅阳春光华枫树园,11000000.0,102803.0,107.0,2室2厅,万柳,北京,海淀,万柳,3,102803.0,sales,,
esf,4室1厅锋尚国际公寓,24800000.0,160705.0,154.32,4室1厅,万柳,北京,海淀,万柳,3,160705.0,sales,,
esf,懋源·璟岳4室2厅精装修,16800000.0,102520.0,163.87,4室2厅,万柳,北京,海淀,万柳,3,102520.0,sales,,
esf,"海淀双地铁万柳万泉新家园精装5居,高端大平层经典户型亲自拍摄",53000000.0,160188.0,330.86,5室3厅,海淀,北京,海淀,万柳,3,160188.0,sales,,
esf,3室2厅碧水云天2期,23980000.0,166227.0,144.26,3室2厅,万柳,北京,海淀,万柳,3,166227.0,sales,,
esf,南北通透康桥水郡4室2厅精装修,28000000.0,138613.0,202.0,4室2厅,万柳,北京,海淀,万柳,3,138613.0,sales,,
esf,3室1厅碧水云天2期,18880000.0,131111.0,144.0,3室1厅,万柳,北京,海淀,万柳,3,131111.0,sales,,
esf,万柳书院3室2厅精装修,62000000.0,225192.0,275.32,3室2厅,万柳,北京,海淀,万柳,3,225192.0,sales,,
esf,2室1厅阳春光华枫树园,9500000.0,103452.0,91.83,2室1厅,万柳,北京,海淀,万柳,3,103452.0,sales,,
esf,南北通透涧桥泊屋3室2厅精装修,25500000.0,155175.0,164.33,3室2厅,万柳,北京,海淀,万柳,3,155175.0,sales,,
esf,3室2厅万泉新新家园,24800000.0,154603.0,160.41,3室2厅,万柳,北京,海淀,万柳,3,154603.0,sales,,
esf,万城华府龙园 394.15平5居 业主诚意高 拎包入住 急售,100000000.0,253710.0,394.15,5室3厅,万柳,北京,海淀,万柳,3,253710.0,sales,,
esf,4室2厅碧水云天1期,25680000.0,144043.0,178.28,4室2厅,万柳,北京,海淀,万柳,3,144043.0,sales,,
esf,万柳锋尚国际公寓 西向两居 简装中层 126168元/平,12990000.0,121231.0,107.15,2室2厅,万柳,北京,海淀,万柳,3,121231.0,sales,,
esf,3室2厅碧水云天2期,16500000.0,145618.0,113.31,3室2厅,万柳,北京,海淀,万柳,3,145618.0,sales,,
esf,3室2厅碧水云天1期,15000000.0,128205.0,117.0,3室2厅,万柳,北京,海淀,万柳,3,128205.0,sales,,
esf,3室2厅碧水云天2期,16500000.0,145618.0,113.31,3室2厅,万柳,北京,海淀,万柳,3,145618.0,sales,,
esf,4室2厅万泉新新家园,32800000.0,127131.0,258.0,4室2厅,万柳,北京,海淀,万柳,3,127131.0,sales,,
esf,康桥水郡3室2厅豪华装修,17800000.0,144715.0,123.0,3室2厅,万柳,北京,海淀,万柳,3,144715.0,sales,,
esf,3室2厅阳春光华枫树园,15500000.0,108741.0,142.54,3室2厅,万柳,北京,海淀,万柳,3,108741.0,sales,,
esf,涧桥泊屋2室2厅精装修,16500000.0,135813.0,121.49,2室2厅,万柳,北京,海淀,万柳,3,135813.0,sales,,
esf,碧水云天西区 3室2厅2卫 经典实用 格局方正,29000000.0,173258.0,167.38,3室2厅,万柳,北京,海淀,万柳,3,173258.0,sales,,
esf,"海淀豪宅万城华府,万柳中关村+城市别墅",75000000.0,259578.0,288.93,4室2厅,海淀,北京,海淀,万柳,3,259578.0,sales,,
esf,2室1厅阳春光华枫树园,11500000.0,127777.0,90.0,2室1厅,万柳,北京,海淀,万柳,3,127777.0,sales,,
esf,碧水云天西区 3室2厅2卫 经典实用 品质小区,16500000.0,145618.0,113.31,3室2厅,万柳,北京,海淀,万柳,3,145618.0,sales,,
esf,万泉新新家园 1室0厅1卫 品质小区 格局方正,6500000.0,114075.0,56.98,1室0厅,万柳,北京,海淀,万柳,3,114075.0,sales,,
esf,4室2厅万泉新新家园,33990000.0,147776.0,230.01,4室2厅,万柳,北京,海淀,万柳,3,147776.0,sales,,
esf,万泉新新家园 237.95平4居 南北向简装修 拎包入住,39800000.0,167262.0,237.95,4室2厅,万柳,北京,海淀,万柳,3,167262.0,sales,,
esf,涧桥泊屋3室2厅豪华装修,17800000.0,139816.0,127.31,3室2厅,万柳,北京,海淀,万柳,3,139816.0,sales,,
esf,万泉新新家园 4室2厅2卫 主卧朝南 客厅朝南,28800000.0,131621.0,218.81,4室2厅,万柳,北京,海淀,万柳,3,131621.0,sales,,
esf,4室2厅万泉新新家园,33990000.0,147776.0,230.01,4室2厅,万柳,北京,海淀,万柳,3,147776.0,sales,,
esf,3室2厅碧水云天2期,16500000.0,145618.0,113.31,3室2厅,万柳,北京,海淀,万柳,3,145618.0,sales,,
esf,万柳万泉一层带南花园 满五年税费少 带车位 位置好,29800000.0,148962.0,200.05,4室2厅,万柳,北京,海淀,万柳,3,148962.0,sales,,
esf,4室1厅碧水云天1期,28000000.0,155538.0,180.02,4室1厅,万柳,北京,海淀,万柳,3,155538.0,sales,,
esf,蜂鸟家园 1室1厅1卫 格局方正 品质小区,5800000.0,112229.0,51.68,1室1厅,万柳,北京,海淀,万柳,4,112229.0,sales,,
esf,4室2厅万泉新新家园,50500000.0,160981.0,313.7,4室2厅,万柳,北京,海淀,万柳,4,160981.0,sales,,
esf,3室1厅锋尚国际公寓,16800000.0,113116.0,148.52,3室1厅,万柳,北京,海淀,万柳,4,113116.0,sales,,
esf,3室2厅阳春光华枫树园,20000000.0,132450.0,151.0,3室2厅,万柳,北京,海淀,万柳,4,132450.0,sales,,
esf,正南蜂鸟社区1室1厅,6450000.0,136421.0,47.28,1室1厅,万柳,北京,海淀,万柳,4,136421.0,sales,,
esf,4室2厅锋尚国际公寓,21800000.0,139743.0,156.0,4室2厅,万柳,北京,海淀,万柳,4,139743.0,sales,,
esf,3室2厅万泉新新家园,18500000.0,135204.0,136.83,3室2厅,万柳,北京,海淀,万柳,4,135204.0,sales,,
esf,2室2厅碧水云天2期,12500000.0,133134.0,93.89,2室2厅,万柳,北京,海淀,万柳,4,133134.0,sales,,
